fold,case_id,dice,hd95,assd,iou,lesion_f1,lesion_precision,lesion_recall
3,patient13,0.85279,10.77033,0.96627,0.74336,0.09396,0.15909,0.06667
3,patient14,0.79693,7.28011,0.79787,0.66241,0.31944,0.47917,0.23958
3,patient15,0.86786,1.41421,0.53057,0.76656,0.38462,0.46875,0.32609
3,patient16,0.77094,3.16228,0.70279,0.62726,0.29665,0.39241,0.23846
3,patient17,0.42681,35.35534,5.29070,0.27131,0.00000,0.00000,0.00000
3,patient18,0.54788,9.52546,1.42040,0.37730,0.34286,0.46154,0.27273
3,patient19,0.88835,3.00000,0.48422,0.79912,0.33498,0.53968,0.24286
3,patient20,0.65540,13.22492,1.52808,0.48743,0.27586,0.54054,0.18519
3,patient21,0.82034,3.60555,0.58438,0.69541,0.29787,0.52066,0.20861
3,patient22,0.78095,4.89898,0.70689,0.64062,0.36186,0.54815,0.27007
3,patient23,0.68174,10.04988,1.15457,0.51715,0.23338,0.42661,0.16062
3,patient24,0.47080,36.68242,7.31116,0.30787,0.35000,0.53846,0.25926
3,patient25,0.73937,10.24695,1.13755,0.58651,0.34632,0.50000,0.26490
3,patient26,0.78776,5.38516,0.94793,0.64984,0.35294,0.37500,0.33333
3,patient27,0.55601,26.24881,3.69605,0.38505,0.25243,0.50000,0.16883
3,patient28,0.76771,4.58258,0.76587,0.62300,0.57249,0.70000,0.48428
3,patient29,0.14587,89.72028,40.16910,0.07867,0.22222,0.75000,0.13043
3,patient30,0.33656,65.71263,13.19196,0.20233,0.16667,0.75000,0.09375
4,patient01,0.73293,9.69536,1.09785,0.57844,0.26056,0.48052,0.17874
4,patient02,0.52033,40.57093,6.49990,0.35166,0.15385,0.33333,0.10000
4,patient03,0.56287,26.96906,2.39109,0.39166,0.31579,0.50000,0.23077
4,patient04,0.82135,4.47214,0.89715,0.69686,0.29804,0.43182,0.22754
4,patient05,0.69491,9.11043,1.55473,0.53246,0.17751,0.34884,0.11905
4,patient06,0.78562,5.47723,0.86957,0.64693,0.15572,0.37209,0.09846
4,patient07,0.64338,18.53374,2.38724,0.47425,0.32353,0.57895,0.22449
4,patient08,0.67394,14.95155,1.86519,0.50823,0.41237,0.58824,0.31746
4,patient09,0.81428,5.38516,0.81229,0.68674,0.20814,0.35938,0.14650
4,patient10,0.80096,8.94427,1.32196,0.66800,0.39362,0.62712,0.28682
4,patient11,0.75982,7.28011,1.22884,0.61267,0.31008,0.56338,0.21390
4,patient12,0.85383,5.47723,0.74222,0.74495,0.35498,0.53247,0.26623
4,patient13,0.85019,9.21954,1.06784,0.73941,0.05839,0.12500,0.03810
4,patient14,0.78734,10.63015,0.93271,0.64927,0.28966,0.42857,0.21875
4,patient15,0.84694,3.60555,0.76774,0.73451,0.32877,0.44444,0.26087
4,patient16,0.75695,3.16228,0.76668,0.60895,0.31841,0.45070,0.24615
4,patient17,0.15424,41.02681,9.84121,0.08357,0.06667,0.14286,0.04348
4,patient18,0.56120,17.14784,2.68160,0.39005,0.38889,0.50000,0.31818
4,patient19,0.89145,2.23607,0.47352,0.80416,0.27723,0.45161,0.20000
4,patient20,0.63359,18.13836,2.29204,0.46369,0.28571,0.70732,0.17901
4,patient21,0.82097,5.38516,0.69983,0.69630,0.26500,0.54082,0.17550
4,patient22,0.77563,4.83641,0.77117,0.63349,0.35678,0.57258,0.25912
4,patient23,0.65682,9.69536,1.24152,0.48900,0.19608,0.40323,0.12953
4,patient24,0.50935,34.67852,7.19003,0.34170,0.33766,0.56522,0.24074
4,patient25,0.73848,12.03536,1.28699,0.58539,0.31193,0.50746,0.22517
4,patient26,0.81395,8.08697,1.22876,0.68627,0.42857,0.60000,0.33333
4,patient27,0.59591,26.56407,3.51141,0.42441,0.24528,0.44828,0.16883
4,patient28,0.75634,6.40312,0.89593,0.60815,0.53125,0.70103,0.42767
4,patient29,0.15766,89.72028,38.24536,0.08557,0.07143,0.20000,0.04348
4,patient30,0.44244,51.06221,9.45235,0.28406,0.10526,0.33333,0.06250
